"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"sophiaAmphitheater","Amphitheater at Sophia","Sophia","Ulpia Serdica","https://pleiades.stoa.org/places/207439","","","amphitheater","post-severan",False,20000.0,"Bulgaria","thracia",60.5,43.0,"","","",23.32865,42.697178,554
"ptolemaisAmphitheater","Amphitheater at Ptolemais","Ptolemais","","https://pleiades.stoa.org/places/373879","","","amphitheater","imperial",True,10878.0,"Libya","crete-et-cyrenaica",47.5,44.5,89.0,86.0,"",20.945728,32.707953,12
"toulouseAmphitheater","Amphitheater at Toulouse","Toulouse","Tolosa","https://pleiades.stoa.org/places/246694","","","amphitheater","imperial",True,"","France","narbonensis",59.0,49.0,111.0,101.0,"",1.397664,43.614808,149
"caparraAmphitheater","Amphitheater at Caparra","Caparra","Municipium Flavium Caparense","https://pleiades.stoa.org/places/236405","","","amphitheater","imperial",True,"","Spain","lusitania",30.0,19.0,"","","",-6.100049,40.164159,405
"cordobaAmphitheater","Amphitheater at Cordoba","Cordoba","Colonia Patricia","https://pleiades.stoa.org/places/256128","","","amphitheater","first-century",True,"","Spain","baetica","","","","","",-4.788888,37.884183,125
"lillebonnAmphitheater","Amphitheater at Lillebonne","Lillebonne","Iuliobona","https://pleiades.stoa.org/places/109069","","19","amphitheater","first-century",True,7245.0,"France","lugdunensis",48.0,45.0,78.0,75.0,"",0.536724,49.517759,19
"besanconAmphitheater","Amphitheater at Besançon","Besançon","Vesontio","https://pleiades.stoa.org/places/177657","","","amphitheater","second-century",True,13816.0,"France","germania-superior",62.0,37.0,110.0,85.0,"",6.015942,47.239027,246
"limogesAmphitheater","Amphitheater at Limoges","Limoges","Augustoritum","https://pleiades.stoa.org/places/138203","","","amphitheater","second-century",True,"","France","aquitania","","","","","",1.251841,45.830474,304
"poitiersAmphitheater","Amphitheater at Poitiers","Poitiers","Limonum Pictonum","https://pleiades.stoa.org/places/138422","","","amphitheater","imperial",True,"","France","aquitania","","",108.0,88.0,"",0.339589,46.57815,119
"reimsAmphitheater","Amphitheater at Reims","Reims","Durocortorum","https://pleiades.stoa.org/places/108945","","","amphitheater","imperial",True,"","France","belgica","","","","","",4.018775,49.261265,80
"rodezAmphitheater","Amphitheater at Rodez","Rodez","Segodunum","https://pleiades.stoa.org/places/138579","","22","amphitheater","imperial",True,15000.0,"France","aquitania","","","","","",2.571162,44.353698,611
"milanAmphitheater","Amphitheater at Milan","Milan","Mediolanum","https://pleiades.stoa.org/places/383706","","","amphitheater","first-century",True,31649.0,"Italy","regio-xi",74.0,44.0,155.0,125.0,"",9.178518,45.456898,116
"aquileiaAmphitheater","Amphitheater at Aquileia","Aquileia","Aquileia","https://pleiades.stoa.org/places/187290","","","amphitheater","flavian",True,"","Italy","regio-x",72.0,46.0,142.0,118.0,"",13.370713,45.768239,2
"paduaAmphitheater","Amphitheater at Padua","Padua","Patavium","https://pleiades.stoa.org/places/393473","","90","amphitheater","julio-claudian",True,"","Italy","regio-x",76.4,39.5,102.5,65.5,"",11.879039,45.411483,17
"lecceAmphitheater","Amphitheater at Lecce","Lecce","Lupiae","https://pleiades.stoa.org/places/442642","","","amphitheater","imperial",True,25000.0,"Italy","regio-ii",53.1,34.2,101.9,83.0,"",18.172733,40.352463,51
"terminiImereseAmphitheater","Amphitheater at Termini Imerese","Termini","Thermae Himerae","https://pleiades.stoa.org/places/462513","","164","amphitheater","flavian",True,"","Italy","sicilia",53.0,30.0,98.0,75.0,"",13.695186,37.983696,76
"sanBenedettoDeiMarsiAmphitheater","Amphitheater at San Benedetto dei Marsi","San Benedetto","Marruvium","https://pleiades.stoa.org/places/432927","","","amphitheater","imperial",True,"","Italy","regio-iv","","",101.0,"","",13.627505,42.006504,683
"monteleoneAmphitheater","Amphitheater at Monteleone","Monteleone","Trebula Mutuesca","https://pleiades.stoa.org/places/413350","","","amphitheater","imperial",True,"","Italy","regio-iv","","","","","",12.867528,42.228444,495
"bolsenaAmphitheater","Amphitheater at Bolsena","Bolsena","Volsinii Novi","https://pleiades.stoa.org/places/413389","","","amphitheater","flavian",True,"","Italy","regio-vii","","","","","",11.990158,42.650243,417
"anconaAmphitheater","Amphitheater at Ancona","Ancona","Ancona","https://pleiades.stoa.org/places/413014","","","amphitheater","julio-claudian",True,14168.0,"Italy","regio-v",67.0,53.0,111.0,97.0,"",13.511791,43.624604,54
"ascoliPicenoAmphitheater","Amphitheater at Ascoli Picenum","Ascoli","Asculum Picenum","https://pleiades.stoa.org/places/413036","","91","amphitheater","imperial",True,"","Italy","regio-v","","",148.0,125.0,"",13.570767,42.855655,157
"beneventoAmphitheater","Amphitheater at Benevento","Benevento","Beneventum","https://pleiades.stoa.org/places/432721","","","amphitheater","republican",True,"","Italy","regio-ii","","","","","",14.781523,41.130009,166
"calviRisortaAmphitheater","Amphitheater at Calvi Risorta","Calvi Risorto","Cales","https://pleiades.stoa.org/places/432739","6","","amphitheater","republican",True,"","Italy","regio-i","","","","","",14.137993,41.202429,89
"sanVittorinoAmphitheater","Amphitheater at San Vittorino","San Vittorino","Amiternum","https://pleiades.stoa.org/places/413013","","","amphitheater","first-century",True,20000.0,"Italy","regio-iv",64.0,42.0,90.0,68.0,"",13.306027,42.400531,672
"beziersAmphitheater","Amphitheater at Béziers","Béziers","Baeterrae","https://pleiades.stoa.org/places/148056","","","amphitheater","imperial",True,"","France","narbonensis","","","","","",3.214026,43.339589,56
"agenAmphitheater","Amphitheater at Agen","Agen","Aginnum","https://pleiades.stoa.org/places/138169","","","amphitheater","imperial",True,15000.0,"France","aquitania","","","","","",0.622122,44.206545,52
"narbonneAmphitheater","Amphitheater at Narbonne","Narbonne","Narbo","https://pleiades.stoa.org/places/246347","","","amphitheater","flavian",True,"","France","narbonensis",75.0,46.6,121.6,93.2,"",3.010181,43.184873,14
"amiensAmphitheater","Amphitheater at Amiens","Amiens","Samarobriva Ambianorum","https://pleiades.stoa.org/places/109321","","102","amphitheater","second-century",True,15000.0,"France","belgica","","","","","",2.293485,49.8944,32
"meauxAmphitheater","Amphitheater at Meaux","Meaux","Iatinon","https://pleiades.stoa.org/places/109059","","","amphitheater","imperial",True,"","France","lugdunensis","","","","","",2.883491,48.970006,50
"chartresAmphitheater","Amphitheater at Chartres","Chartres","Autricum","https://pleiades.stoa.org/places/108778","","","amphitheater","imperial",True,"","France","lugdunensis","","","","","",1.48926,48.450069,140
"senlisAmphitheater","Amphitheater at Senlis","Senlis","Augustomagus","https://pleiades.stoa.org/places/108776","","","amphitheater","first-century",True,"","France","belgica",41.5,34.45,90.0,83.0,"",2.575376,49.205169,64
"toursAmphitheater","Amphitheater at Tours","Tours","Caesarodunum Turonum","https://pleiades.stoa.org/places/138255","","54","amphitheater","hadrianic",True,34000.0,"France","lugdunensis",68.0,50.0,156.0,134.0,"",0.696233,47.395342,59
"caistorStEdmundAmphitheater","Amphitheater at Caistor Saint Edmund","Caistor St. Edmund","Venta Icenorum","https://pleiades.stoa.org/places/79735","","","amphitheater","imperial",True,"","United Kingdom","britannia","","","","","",1.288445,52.579764,7
"capuaRepublicanAmphitheater","Republican Amphitheater at Capua","Capua I","Capua","https://pleiades.stoa.org/places/432754","2","","amphitheater","republican",False,"","Italy","regio-i","","","","","",14.250309,41.084593,37
"capuaImperialAmphitheater","Imperial Amphitheater at Capua","Capua II","Capua","https://pleiades.stoa.org/places/432754","","","amphitheater","flavian",True,37000.0,"Italy","regio-i",76.12,45.83,165.0,135.0,"",14.250089,41.085935,34
"liternoAmphitheater","Amphitheater at Literno","Literno","Liternum","https://pleiades.stoa.org/places/432911","3","","amphitheater","republican",True,"","Italy","regio-i","","","","","",14.0304,40.920949,9
"noleAmphitheater","Amphitheater at Nole","Nole","Nola","https://pleiades.stoa.org/places/432981","13","","amphitheater","republican",True,"","Italy","regio-i","","","","","",14.52054,40.927702,35
"silchesterAmphitheater","Amphitheater at Silchester","Silchester","Calleva Atrebatum","https://pleiades.stoa.org/places/79368","","","amphitheater","second-century",True,7147.0,"United Kingdom","britannia",49.0,40.0,80.0,70.0,"",-1.07547,51.358881,91
"dorchesterAmphitheater","Amphitheater at Dorchester / Maumbury Henge","Maumbury","Durnovaria","https://pleiades.stoa.org/places/79431","","","amphitheater","flavian",True,"","United Kingdom","britannia",58.0,47.0,80.0,77.0,"",-2.440246,50.708044,78
"bragaAmphitheater","Amphitheater at Braga","Braga","Bracara Augusta","https://pleiades.stoa.org/places/236377","","","amphitheater","imperial",True,"","Portugal","tarraconensis","","","","","",-8.430075,41.546669,175
"sisapoAmphitheater","Amphitheater at Sisapo","Sisapo","","https://pleiades.stoa.org/places/266043","","","amphitheater","imperial",True,"","Spain","baetica","","","","","",-4.516667,38.645833,659
"leonAmphitheater","Amphitheater at León","León","Legio","https://pleiades.stoa.org/places/236512","","","amphitheater","imperial",True,"","Spain","tarraconensis","","","","","",-5.566944,42.598889,846
"autunAmphitheater","Amphitheater at Autun","Autun","Augustodunum","https://pleiades.stoa.org/places/177460","","157","amphitheater","flavian",True,"","France","lugdunensis",74.0,49.0,154.0,130.0,"",4.310856,46.953003,317
"xantenAmphitheater","Amphitheater at Xanten","Xanten","Colonia Ulpia Traiana","https://pleiades.stoa.org/places/108896","","167","amphitheater","imperial",True,10000.0,"Germany","germania-inferior",58.5,49.0,96.5,87.0,"",6.451386,51.667172,21
"arnsburgAmphitheater","Amphitheater at Arnsburg","Arnsburg","","https://pleiades.stoa.org/places/118575","","","amphitheater","imperial",True,"","Germany","germania-superior","","","","","",8.787954,50.485657,163
"ierapetraAmphitheater","Amphitheater at Ierapetra","Ierapetra","","https://pleiades.stoa.org/places/589807","","","amphitheater","imperial",True,"","Greece","crete-et-cyrenaica","","","","","",25.745132,35.011385,4
"kunzingAmphitheater","Amphitheater at Künzing","Künzing","Quintana","https://pleiades.stoa.org/places/118919","","","amphitheater","imperial",True,"","Germany","raetia","","","","","",13.082821,48.667088,308
"noceraSuperioreAmphitheater","Amphitheater at Nocera Superiore","Nocera","Nuceria Alfaterna","https://pleiades.stoa.org/places/432985","","","amphitheater","imperial",True,"","Italy","regio-i",58.0,34.0,125.0,102.0,"",14.657022,40.74575,50
"bobadelaAmphitheater","Amphitheater at Bobadela","Bobadela","Elbocoris","https://pleiades.stoa.org/places/236458","","","amphitheater","flavian",True,"","Portugal","lusitania",50.0,40.0,"","","",-7.893572,40.361088,383
"sopronAmphitheater","Amphitheater at Sopron","Sopron","Scarabantia","https://pleiades.stoa.org/places/197501","","","amphitheater","imperial",True,"","Hungary","pannonia","","","","","",16.589397,47.692813,283
"nyonAmphitheater","Amphitheater at Nyon","Nyon","Noviodunum","https://pleiades.stoa.org/places/177496","","","amphitheater","imperial",True,"","Switzerland","germania-superior","","","","","",6.241301,46.383464,391
"bernAmphitheater","Amphitheater at Bern","Bern","Bremodorum","https://pleiades.stoa.org/places/177471","","42","amphitheater","imperial",True,1946.0,"Switzerland","germania-superior",27.6,23.5,42.6,38.5,"",7.451179,46.975715,547
"dambachAmphitheater","Amphitheater at “Dambach”","Dambach","","https://pleiades.stoa.org/places/118638","","","oval-structure","imperial",True,"","Germany","raetia","","","","","",10.58318,49.104033,463
"burnumAmphitheater","Amphitheater at Burnum","Burnum","Burnum","https://pleiades.stoa.org/places/197184","","","amphitheater","imperial",True,"","Croatia","dalmatia",43.0,32.0,80.0,65.0,"",16.018169,44.019098,250
"gleisdorfAmphitheater","Amphitheater at Gleisdorf","Gleisdorf","","https://pleiades.stoa.org/places/197284","","","amphitheater","imperial",True,"","Austria","noricum","","","","","",15.707727,47.111055,365
"skikdaAmphitheater","Amphitheater at Skikda","Skikda","Rusicade","https://pleiades.stoa.org/places/305137","","","amphitheater","second-century",True,8000.0,"Algeria","mauretania",57.0,38.5,77.3,58.8,"",6.91383,36.876413,38
"bostraAmphitheater","Amphitheater at Bosra","Bosra","Nova Trajana Bostra","https://pleiades.stoa.org/places/678073","","","amphitheater","imperial",True,"","Syria","syria","","","","","",36.479844,32.517923,845
"palmyraAmphitheater","Possible Amphitheater at Palmyra","Palmyra","","https://pleiades.stoa.org/places/668331","","","amphitheater","imperial",True,"","Syria","syria","","","","","",38.273763,34.553789,408
"stMarcelAmphitheater","Amphitheater at Saint Marcel","St. Marcel","Argentomagus","https://pleiades.stoa.org/places/138192","","","amphitheater","imperial",True,"","France","aquitania","","","","","",1.518328,46.601549,150
"metzAmphitheater","Amphitheater at Metz","Metz"," Divodurum","https://pleiades.stoa.org/places/108928","","","amphitheater","late-1st-early-2nd",True,30000.0,"France","belgica","","",148.0,125.0,"",6.181932,49.107645,171
"grandHalfAmphitheater","Half Amphitheater at Grand","Grand","Grannum","https://pleiades.stoa.org/places/109016","","","gallo-roman-amphitheater","third-century",False,17000.0,"France","belgica",50.0,41.0,179.0,"","",5.49096,48.385217,371
"albegnaAmphitheater","Amphitheater at Albegna","Albegna","Albingaunum","https://pleiades.stoa.org/places/157803","","","amphitheater","imperial",True,"","Italy","regio-vii","","","","","",8.21089894,44.043708,34
"aquinoAmphitheater","Amphitheater at Aquino","Aquino","Aquinum","https://pleiades.stoa.org/places/432695","",147,"amphitheater","imperial",True,"","Italy","regio-i",55.0,36.0,115.0,96.0,"",13.691338,41.49469,111
"bourgesAmphitheater","Amphitheater at Bourges","Bourges","Avaricum","https://pleiades.stoa.org/places/138207","","","amphitheater","imperial",True,"","France","aquitania","","",108.0,70.0,"",2.390815,47.084496,133
"chassenonAmphitheater","Amphitheater at Chassenon","Chassenon","Cassinomagus","https://pleiades.stoa.org/places/138275","","","gallo-roman-amphitheater","imperial",True,"","France","aquitania",60.0,40.0,"","","",0.768913,45.850749,217
"drevantAmphitheater","Amphitheater at Drevant","Drevant","Derventum","https://pleiades.stoa.org/places/138327","","","gallo-roman-amphitheater","imperial",True,"","France","aquitania",25.0,"",56.0,"","",2.522625,46.693079,164
"seressiAmphitheater","Amphitheater at Seressi","Seressi","Seressi","https://pleiades.stoa.org/places/315150","","","amphitheater","second-century",True,7200.0,"Tunisia","proconsularis",51.5,40.7,76.0,65.2,"",9.775766,36.16351,471
"chemtouAmphitheater","Amphitheater at Chemtou","Chemtou","Simmithu","https://pleiades.stoa.org/places/315174","","67","amphitheater","second-century",True,6500.0,"Tunisia","proconsularis",30.0,21.0,61.0,52.0,"",8.580552,36.490426,171
"bekaltaAmphitheater","Amphitheater at Bekalta","Bekalta","Thapsus","https://pleiades.stoa.org/places/324827","","185","amphitheater","second-century",True,4400.0,"Tunisia","proconsularis",67.0,43.0,80.0,58.0,"",11.042371,35.619149,3
"sidiBouArkoubAmphitheater","Amphitheater at Sidi bou Arkoub","Sidi bou Arkoub","Thimisua","https://pleiades.stoa.org/places/315211","","","amphitheater","imperial",True,3200.0,"Tunisia","proconsularis",38.0,22.0,56.0,38.0,"",9.31926,36.310778,277
"genzanoPrivateAmphitheater","Private Amphitheater at Genzano","Genzano","","https://pleiades.stoa.org/places/422838","","","amphitheater","second-century",True,1300.0,"Italy","regio-iv","","",61.0,40.0,"",12.696433,41.69286,370
"ainHedjahAmphitheater","Amphitheater at Ain Hedjah","Ain Hedjah","Agbia","https://pleiades.stoa.org/places/314857","","64","amphitheater","second-century",True,3000.0,"Tunisia","proconsularis",43.0,28.0,57.0,42.0,"",9.230632,36.391031,412
"uticaAmphitheater","Amphitheater at Utica","Utica","Utica","https://pleiades.stoa.org/places/315248","","61","amphitheater","hadrianic",True,17100.0,"Tunisia","proconsularis",80.0,60.0,118.0,98.0,"",10.057188,37.052472,29
"tebourbaAmphitheater","Amphitheater at Thuburbo Minus","Thuburbo Minus","Thuburbo Minus","https://pleiades.stoa.org/places/315219","","69","amphitheater","second-century",True,"","Tunisia","proconsularis","","","","","",9.835436,36.827708,43
"hencherElKasbatAmphitheater","Amphitheater at Henchir el Kasbat","Thuburbo Maius","Thuburbo Maius","https://pleiades.stoa.org/places/315220","","121","amphitheater","second-century",True,7500.0,"Tunisia","proconsularis",46.0,33.0,74.0,61.0,"",9.905668,36.398153,201
"espejoAmphitheater","Amphitheater at Espejo","Espejo","Ucubi","https://pleiades.stoa.org/places/266081","","","amphitheater","caesarean",True,"","Spain","baetica","","","","","",-4.554198,37.683989,352
"hencherZembraAmphitheater","Amphitheater at Henchir Zembra","Ulisippira","Ulisippira","https://pleiades.stoa.org/places/324839","","70","amphitheater","second-century",True,5400.0,"Tunisia","proconsularis",48.0,32.0,69.0,53.0,"",10.441193,35.958583,21
"botriaAmphitheater","Amphitheater at Botria","Acholla","Acholla","https://pleiades.stoa.org/places/324653","","118","amphitheater","second-century",True,11600.0,"Tunisia","proconsularis",58.0,54.0,90.0,86.0,"",11.018944,35.075962,2
"tipasaAmphitheater","Amphitheater at Tipasa","Tipasa","Tipasentium","https://pleiades.stoa.org/places/295363","","130","amphitheater","late-second-century",True,4398.0,"Algeria","mauretania",57.0,35.0,77.0,55.0,"",2.445456,36.593152,16
"bullaRegiaAmphitheater","Amphitheater at Bulla Regia","Bulla Regia","Bulla Regia","https://pleiades.stoa.org/places/314912","","117","amphitheater","late-second-century",True,8300.0,"Tunisia","proconsularis",34.0,30.0,75.0,66.0,"",8.762598,36.564169,227
"pupputAmphitheater","Amphitheater at Pupput","Pupput","Pupput","https://pleiades.stoa.org/places/315121","","298","amphitheater","imperial",True,"","Tunisia","proconsularis",45.0,36.0,"","","",10.5626,36.3929,4
"siccaVeneriaAmphitheater","Amphitheater at Sicca Veneria","Sicca Veneria","Sicca Veneria","https://pleiades.stoa.org/places/315152","","","amphitheater","imperial",True,11300.0,"Tunisia","proconsularis",70.0,50.0,100.0,80.0,"",8.715302,36.18536115302,748
"thibariAmphitheater","Amphitheater at Thibari","Thibari","Thibari","https://pleiades.stoa.org/places/315201","","62","amphitheater","imperial",True,6300.0,"Tunisia","proconsularis",30.8,21.0,61.2,51.5,"",9.083712,36.504836,282
"portusOvalStructure","Oval Structure at Portus","Portus Oval Structure","Portus","https://pleiades.stoa.org/places/423012","","","oval-structure","second-century",False,2000.0,"Italy","regio-i","","","","","",12.25809,41.781816,2
"montbouyGalloRomanAmphitheater","Gallo-Roman Amphitheater at Montbouy","Montbouy","","https://pleiades.stoa.org/places/138468","","","gallo-roman-amphitheater","imperial",True,"","France","lugdunensis",48.0,31.0,"","","",2.819017,47.87286,122
"statiliusTaurusAmphitheater","Amphitheater of Statilius Taurus","Statilius Taurus","","https://pleiades.stoa.org/places/423025","","","amphitheater","augustan",False,"","Italy","regio-i","","","","","",12.469869,41.899614,22
"hisaryaAmphitheater","Amphitheater at Hisarya","Hisarya","Diocletianopolis","https://pleiades.stoa.org/places/216792","","","amphitheater","imperial",True,"","Bulgaria","thracia","","","","","",24.703104,42.500071,362
"mesarafeltaAmphitheater","Amphitheater at Mesarfelta","Mesarfelta","Mesarfelta","https://pleiades.stoa.org/places/334592","","45","amphitheater","second-century",True,"","Algeria","mauretania","","","","","",5.592835,35.036203,271
"tigavaCastraAmphitheater","Amphitheater at Tigava Castra","Tigava Castra","Tigava Castra","https://pleiades.stoa.org/places/295357","","46","amphitheater","second-century",True,2300.0,"Algeria","mauretania",44.0,26.0,56.0,37.0,"",1.651389,36.23195,151
"carpisAmphitheater","Amphitheater at Carpis","Carpis","Carpis","https://pleiades.stoa.org/places/314920","","65","amphitheater","imperial",True,"","Tunisia","proconsularis","","","","","",10.557673,36.760727,29
"altinumAmphitheater","Amphitheater at Altinum","Altinum","Altinum","https://pleiades.stoa.org/places/393374","","","amphitheater","imperial",True,"","Italy","regio-x",80.0,58.0,143.0,103.0,"",12.399911,45.548996,1
"augustaBagiennorumAmphitheater","Amphitheater at Augusta Benniorum","Augusta Bagiennorum","Augusta Bagiennorum","https://pleiades.stoa.org/places/383578","","","amphitheater","julio-claudian",True,"","Italy","regio-ix","","",104.0,78.0,"",7.85031,44.556438,340
"aostaAmphitheater","Amphitheater at Aosta","Aosta","Augusta Praetoria","https://pleiades.stoa.org/places/383579","","","amphitheater","julio-claudian",True,"","Italy","regio-xi","","",150.0,115.0,"",7.323481,45.740914,595
"faleriiNoviAmphitheater","Amphitheater at Falerii Novi","Falerii Novi","Falerii Novi","https://pleiades.stoa.org/places/413125","","146","amphitheater","augustan",True,7986.0,"Italy","regio-vii",54.3,32.7,88.0,66.4,"",12.361043,42.302681,198
"riminiAmphitheater","Amphitheater at Rimini","Rimini","Ariminum","https://pleiades.stoa.org/places/393379","","172","amphitheater","hadrianic",True,13967.0,"Italy","regio-viii",73.76,42.52,117.72,88.08,"",12.575144,44.060057,5
"imolaAmphitheater","Amphitheater at Imola","Imola","Forum Cornelii","https://pleiades.stoa.org/places/393424","","56","amphitheater","imperial",True,11914.0,"Italy","regio-viii",67.0,40.0,108.0,81.0,"",11.711992,44.353673,53
"venosaAmphitheater","Amphitheater at Venosa","Venosa","Venusia","https://pleiades.stoa.org/places/442847","","","amphitheater","imperial",True,10602.0,"Italy","regio-ii",58.0,37.0,98.0,77.0,"",15.826303,40.969693,402
"teramoAmphitheater","Amphitheater at Teramo","Teramo","Interamnia Praetuttiorum","https://pleiades.stoa.org/places/413179","","","amphitheater","imperial",True,"","Italy","regio-v","","",73.93,56.16,"",13.703278,42.658183,273
"velleiaAmphitheater","Amphitheater at Velleia","Velleia","Veleia","https://pleiades.stoa.org/places/383811","","14","amphitheater","julio-claudian",True,2901.0,"Italy","regio-viii",37.0,25.5,54.85,44.1,"",9.723475,44.785084,476
"ordonaAmphitheater","Amphitheater at Ordona","Ordona","Herdoniae","https://pleiades.stoa.org/places/442613","","26","amphitheater","first-century",True,6318.0,"Italy","regio-ii",44.6,28.4,74.5,59.4,"",15.6231,41.3105,127
"bevanaAmphitheater","Amphitheater at Bevagna","Bevagna","Mevania","https://pleiades.stoa.org/places/413200","","282","amphitheater","imperial",True,6251.0,"Italy","regio-vi",44.0,24.0,80.0,53.0,"",12.615587,42.936903,215
"minturnaeAmphitheater","Amphitheater at Minturno","Minturno","Minturnae","https://pleiades.stoa.org/places/432940","","","amphitheater","first-century",True,"","Italy","regio-i","","",130.0,"","",13.763859,41.241734,10
"sinuessaAmphitheater","Amphitheater at Sinuessa","Sinuessa","Sinuessa","https://pleiades.stoa.org/places/433122","","274","amphitheater","imperial",True,"","Italy","regio-i","","",80.0,45.0,"",13.846372,41.153584,5
"aphrodisiasAmphitheater","Late Roman Amphitheater at Aphrodisas","Aphrodisias","Aphrodisias","https://pleiades.stoa.org/places/638753","","","arena-in-stadium","fourth-century",False,"","Turkey","asia",59.0,30.0,"","","",28.723061,37.712553,526
"djerbaAmphitheater","Djerba Amphitheater","Djerba","Meninge","https://pleiades.stoa.org/places/344439","","","amphitheater","imperial",True,"","Tunisia","proconsularis","","",68.0,"","",10.913907,33.685822,1
"zagaroloLudus","Zagarolo Ludus","Zagarolo","","https://pleiades.stoa.org/places/423086","","","practice-arena","imperial",False,"","Italy","regio-i","","",40.0,"","",12.819255,41.858402,275
"tusculumAmphitheater","Tusculum Amphitheater","Tusculum","","https://pleiades.stoa.org/places/423108","","","amphitheater","second-century",True,4853.0,"Italy","regio-i",49.0,30.0,73.0,54.0,"",12.702103,41.798372,582
"forumNovumAmphitheater","Forum Novum Amphitheater","Forum Novum","","https://pleiades.stoa.org/places/413148","","","amphitheater","first-century",True,"","Italy","regio-iv",45.0,25.0,"","","",12.603363,42.329875,137
"todiAmphitheater","Todi Amphitheater","Todi","Tuder","https://pleiades.stoa.org/places/413354","","283","amphitheater","imperial",True,"","Italy","regio-vi","","",90.0,60.0,"",12.413528,42.778653,330
"terniAmphitheater","Terni Amphitheater","Terni","Interamna Nahars","https://pleiades.stoa.org/places/413178","","","amphitheater","first-century",True,"","Italy","regio-vi",65.0,36.0,95.0,73.0,"",12.64336,42.559785,240
"spoletoAmphitheater","Spoleto Amphitheater","Spoleto","Spoletium","https://pleiades.stoa.org/places/413320","","","amphitheater","imperial",True,"","Italy","regio-vi","","",115.0,85.0,"",12.738992,42.738427,327
"aquaeNeriAmphitheater","Aquae Neri Amphitheater","Aquae Neri","","https://pleiades.stoa.org/places/138185","","20","amphitheater","first-century",True,3926.0,"France","aquitania",50.0,30.0,70.0,50.0,"",2.658224,46.289891,489
"aureliumCommodianumAmphitheater","Aurelium Commodianum Amphitheater","Aurelium Commodianum","Aurelium Commodianum","https://pleiades.stoa.org/places/315084","","","amphitheater","second-century",True,"","Tunisia","proconsularis","","",65.0,55.0,"",9.889218,36.527797,205
"jebelMorabaAmphitheater","Jebel Moraba Amphitheater","Jebel Moraba","","https://pleiades.stoa.org/places/208942158","","","amphitheater","imperial",True,"","Tunisia","proconsularis","","","","","",9.860836,36.597655,311
"faleroneAmphitheater","Falerone Amphitheater","Falerone","Falerio","https://pleiades.stoa.org/places/413127","","99","amphitheater","julio-claudian",True,"","Italy","regio-v","","",88.8,80.0,"",13.495903,43.101106,222
"fermoAmphitheater","Fermo Amphitheater","Fermo","Firmum Picenum","https://pleiades.stoa.org/places/413135","","","amphitheater","imperial",True,"","Italy","regio-v","","","","","",13.718231,43.161433,290
"frosinoneAmphitheater","Frosinone Amphitheater","Frosinone","Frusino","https://pleiades.stoa.org/places/432852","","106","amphitheater","imperial",True,"","Italy","regio-i","","",78.0,57.0,"",13.353417,41.64507,213
"ruggeAmphitheater","Rugge Amphitheater","Rugge","Rudiae","https://pleiades.stoa.org/places/442753","","","amphitheater","imperial",True,"","Italy","regio-ii","","",83.0,66.0,"",18.146729,40.334316,38
"egnaziaAmphitheater","Egnazia Amphitheater","Egnazia","Egnatia","https://pleiades.stoa.org/places/442573","","","amphitheater","third-century",False,"","Italy","regio-ii",37.0,25.0,"","","",17.391188,40.887891,2
"canosaAmphitheater","Canosa Amphitheater","Canosa","Canusium","https://pleiades.stoa.org/places/442525","","","amphitheater","imperial",False,"","Italy","regio-ii","","",138.0,106.0,"",16.05603,41.221739,81
"sipontoAmphitheater","Siponto Amphitheater","Siponto","Sipous","https://pleiades.stoa.org/places/442797","","","amphitheater","imperial",True,"","Italy","regio-ii","","","","","",15.888896,41.611536,18
"chietiAmphitheater","Chieti Amphitheater","Chieti","Teate Marrucinorum","https://pleiades.stoa.org/places/413333","","","amphitheater","first-century",True,"","Italy","regio-iv",59.0,40.7,"","","",14.16255,42.345021,343
"teanoAmphitheater","Amphitheater at Teano","Teano","Teanum Sidicinum","https://pleiades.stoa.org/places/433146","7","","amphitheater","republican",True,"","Italy","regio-ii","","","","","",14.065098,41.251661,191
"henchirDuomaAmphitheater","Henchir Douama Amphitheater","Henchir Douama","Uchi Maius","https://pleiades.stoa.org/places/315242","","","amphitheater","imperial",True,"","Tunisia","proconsularis","","",55.0,43.0,"",9.085182,36.412511,418
"ainToungaAmphitheater","Ain Tounga Amphitheater","Ain Tounga","Thignica","https://pleiades.stoa.org/places/315207","","116","amphitheater","second-century",True,3000.0,"Tunisia","proconsularis",39.0,26.5,56.0,46.0,"",9.361924,36.52782,226
"aleriaAmphitheater","Aleria Amphitheater","Aleria","Alalia","https://pleiades.stoa.org/places/472048","","131","amphitheater","imperial",True,1200.0,"France","corsica-et-sardinia",29.6,24.0,39.6,34.0,"",9.5102,42.100889,41
"volterraAmphitheater","Volterra Amphitheater","Volterra","Volaterrae","https://pleiades.stoa.org/places/403292","","","amphitheater","first-century",True,10000.0,"Italy","regio-vii","","",80.0,60.0,"",10.862152,43.407162,456
"vastoAmphitheater","Amphitheater at Vasto","Vasto","Histonium","https://pleiades.stoa.org/places/413171","","","amphitheater","imperial",True,"","Italy","regio-iv","","","","","",14.708095,42.111291,150
